日期,名称,代码,开盘价,最高价,最低价,收盘价,前收盘,涨跌额,涨跌率,换手率,成交量,"成交额","总市值","流通市值"
"2015-12-31","湖北宜化","'000422","7.93","7.95","7.76","7.77","7.93","-0.16","-0.020177","0.015498","13915200","109318000","6976420000","6976420000"
"2015-12-30","湖北宜化","'000422","7.86","7.93","7.75","7.93","7.84","0.09","0.01148","0.018662","16755900","131567000","7120080000","7120080000"
"2015-12-29","湖北宜化","'000422","7.72","7.85","7.69","7.84","7.71","0.13","0.016861","0.015886","14263800","110789000","7039280000","7039280000"
"2015-12-28","湖北宜化","'000422","8.03","8.08","7.7","7.71","8.03","-0.32","-0.039851","0.030821","27672800","218869000","6922550000","6922550000"
"2015-12-25","湖北宜化","'000422","8.03","8.05","7.93","8.03","7.99","0.04","0.005006","0.021132","18974000","151673000","7209870000","7209870000"
"2015-12-24","湖北宜化","'000422","7.93","8.16","7.87","7.99","7.92","0.07","0.008838","0.026487","23781900","189989000","7173960000","7173960000"
"2015-12-23","湖北宜化","'000422","7.97","8.11","7.88","7.92","7.89","0.03","0.003802","0.04236","38033600","304007000","7111100000","7111100000"
"2015-12-22","湖北宜化","'000422","7.86","7.93","7.76","7.89","7.83","0.06","0.007663","0.026929","24178700","189658000","7084170000","7084170000"
"2015-12-21","湖北宜化","'000422","7.59","7.89","7.56","7.83","7.63","0.2","0.026212","0.030777","27633600","214072000","7030300000","7030300000"
"2015-12-18","湖北宜化","'000422","7.71","7.74","7.57","7.63","7.74","-0.11","-0.014212","0.024764","22234900","169979000","6850720000","6850720000"
"2015-12-17","湖北宜化","'000422","7.58","7.75","7.57","7.74","7.55","0.19","0.025166","0.028054","25188400","193191000","6949490000","6949490000"
"2015-12-16","湖北宜化","'000422","7.57","7.62","7.53","7.55","7.55","0","0","0.020718","18601600","140830000","6778890000","6778890000"
"2015-12-15","湖北宜化","'000422","7.63","7.66","7.52","7.55","7.62","-0.07","-0.009186","0.025902","23256600","175995000","6778890000","6778890000"
"2015-12-14","湖北宜化","'000422","7.4","7.64","7.36","7.62","7.51","0.11","0.014647","0.021005","18860100","141860000","6841740000","6841740000"
