Date,Name,Code,Open,High,Low,Close,Pre_Close,Rise_Fall_Amt,Rise_Fall_Rate,Volume,S803XXX,ND1S803XXX,S8021XX,S8025XX,S8026XX,S8024XX
2005-01-31,湖北宜化,000422,6.7800,6.8700,6.7000,6.8100,6.9400,-0.1300,-0.0187,2669130.0000,803402,803406,802103,802502,802604,802405
2005-02-01,湖北宜化,000422,6.7800,6.8900,6.3000,6.4200,6.8100,-0.3900,-0.0573,3869880.0000,803406,803608,802109,802507,802602,802403
2005-02-02,湖北宜化,000422,6.4200,6.9900,6.4200,6.9000,6.4200,0.4800,0.0748,4659550.0000,803608,803403,802109,802509,802602,802400
2005-02-03,湖北宜化,000422,7.0000,7.1500,6.7300,6.7500,6.9000,-0.1500,-0.0217,4040880.0000,803403,803604,802107,802506,802604,802401
2005-02-04,湖北宜化,000422,6.7500,7.0500,6.7100,7.0000,6.7500,0.2500,0.0370,2430800.0000,803604,803604,802106,802508,802602,802402
2005-02-16,湖北宜化,000422,7.0400,7.3300,6.9500,7.2200,7.0000,0.2200,0.0314,2971460.0000,803604,803401,802106,802505,802603,802403
2005-02-17,湖北宜化,000422,7.1600,7.2200,7.1200,7.1800,7.2200,-0.0400,-0.0055,828712.0000,803401,803401,802102,802502,802605,802405
2005-02-18,湖北宜化,000422,7.1700,7.2400,7.1300,7.1400,7.1800,-0.0400,-0.0056,1078910.0000,803401,803601,802102,802503,802607,802401
2005-02-21,湖北宜化,000422,7.1400,7.2300,7.0800,7.1800,7.1400,0.0400,0.0056,1349110.0000,803601,803603,802103,802503,802604,802404
2005-02-22,湖北宜化,000422,7.1800,7.4000,7.1300,7.3300,7.1800,0.1500,0.0209,2099180.0000,803603,803601,802104,802506,802603,802402
2005-02-23,湖北宜化,000422,7.3300,7.4300,7.2800,7.3400,7.3300,0.0100,0.0014,1614210.0000,803601,803402,802103,802501,802607,802404
2005-02-24,湖北宜化,000422,7.3000,7.3000,7.1500,7.2400,7.3400,-0.1000,-0.0136,2259550.0000,803402,803602,802103,802504,802600,802407
2005-02-25,湖北宜化,000422,7.2400,7.4300,7.2000,7.3500,7.2400,0.1100,0.0152,3116110.0000,803602,803401,802104,802505,802604,802402
2005-02-28,湖北宜化,000422,7.3800,7.4000,7.2800,7.3300,7.3500,-0.0200,-0.0027,1875020.0000,803401,803601,802102,802505,802602,802405
2005-03-01,湖北宜化,000422,7.3300,7.3600,7.2500,7.3500,7.3300,0.0200,0.0027,1112010.0000,803601,803401,802102,802502,802601,802408
2005-03-02,湖北宜化,000422,7.3000,7.4200,7.2100,7.2900,7.3500,-0.0600,-0.0082,1244480.0000,803401,803401,802103,802501,802606,802404
2005-03-03,湖北宜化,000422,7.3000,7.3000,7.1800,7.2700,7.2900,-0.0200,-0.0027,980210.0000,803401,803601,802102,802503,802600,802408
2005-03-04,湖北宜化,000422,7.2600,7.3100,7.1500,7.2800,7.2700,0.0100,0.0014,1044040.0000,803601,803601,802103,802502,802602,802407
2005-03-07,湖北宜化,000422,7.3000,7.3600,7.2100,7.3400,7.2800,0.0600,0.0082,968488.0000,803601,803603,802103,802503,802602,802406
2005-03-08,湖北宜化,000422,7.3800,7.5900,7.3000,7.5400,7.3400,0.2000,0.0272,4187550.0000,803603,803602,802104,802506,802602,802403
2005-03-09,湖北宜化,000422,7.5500,7.6700,7.5300,7.6200,7.5400,0.0800,0.0106,2472010.0000,803602,803401,802102,802506,802604,802402
2005-03-10,湖北宜化,000422,7.6300,7.7700,7.4600,7.6100,7.6200,-0.0100,-0.0013,3065290.0000,803401,803403,802105,802501,802605,802405
2005-03-11,湖北宜化,000422,7.6000,7.6400,7.3800,7.4400,7.6100,-0.1700,-0.0223,1684610.0000,803403,803603,802104,802507,802602,802403
2005-03-14,湖北宜化,000422,7.4400,7.6500,7.3500,7.5900,7.4400,0.1500,0.0202,2824760.0000,803603,803405,802105,802505,802603,802404
2005-03-15,湖北宜化,000422,7.6100,7.6100,7.2400,7.2600,7.5900,-0.3300,-0.0435,1393770.0000,803405,803403,802105,802510,802600,802401
2005-03-16,湖北宜化,000422,7.2800,7.3800,7.0600,7.0800,7.2600,-0.1800,-0.0248,2902570.0000,803403,803401,802105,802507,802604,802401
2005-03-17,湖北宜化,000422,7.0700,7.2000,7.0100,7.0200,7.0800,-0.0600,-0.0085,1664900.0000,803401,803402,802103,802503,802607,802401
2005-03-18,湖北宜化,000422,7.0400,7.0800,6.8600,6.9200,7.0200,-0.1000,-0.0142,1813700.0000,803402,803405,802104,802506,802602,802403
2005-03-21,湖北宜化,000422,6.9200,6.9800,6.4700,6.6100,6.9200,-0.3100,-0.0448,4445880.0000,803405,803602,802108,802507,802602,802403
2005-03-22,湖北宜化,000422,6.6100,6.7200,6.4800,6.6900,6.6100,0.0800,0.0121,2742800.0000,803602,803401,802104,802504,802602,802406
2005-03-23,湖北宜化,000422,6.6500,6.8800,6.4800,6.6800,6.6900,-0.0100,-0.0015,1311120.0000,803401,803602,802106,802501,802606,802405
