 Subject|  803401|  803402|  803403|  803404|  803405|  803406|  803407|  803408|  803409|  803410|  803500|  803601|  803602|  803603|  803604|  803605|  803606|  803607|  803608|  803609|  803610|  Amount|
  802100|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
  802101|       1|       3|       0|       0|       0|       0|       0|       0|       0|       0|       1|       3|       1|       1|       0|       0|       0|       0|       0|       0|       0|      10|
  802102|      73|      44|      34|       9|       2|       2|       1|       0|       1|       1|      13|      88|      51|      24|      12|       4|       2|       0|       0|       0|       0|     361|
  802103|      93|      82|      54|      30|      16|       3|       7|       0|       2|       2|      16|     112|      94|      55|      27|      10|       8|       2|       2|       0|       0|     615|
  802104|      73|      63|      40|      29|      15|       6|       4|       2|       3|       2|      11|      79|      71|      55|      34|      16|       9|       3|       2|       2|       2|     521|
  802105|      44|      28|      20|      20|      18|       9|       5|       4|       1|       9|      11|      56|      40|      30|      23|      17|       9|       5|       6|       3|       3|     361|
  802106|      23|      25|      15|      12|       7|       7|       5|       2|       0|       3|       4|      41|      32|      16|      19|      16|       4|       5|       2|       3|       3|     244|
  802107|      12|      18|      16|       9|       1|       3|       0|       0|       1|       5|       1|      21|      17|      18|      11|       8|       4|       5|       3|       0|       2|     155|
  802108|      12|      14|       7|       2|       4|       1|       2|       1|       0|       6|       0|      12|      12|       8|       6|       7|       1|       3|       1|       1|       2|     102|
  802109|       4|       6|       9|       2|       3|       2|       0|       2|       0|       3|       1|       7|       6|       7|       8|       1|       2|       4|       2|       0|       1|      70|
  802110|       3|       4|       5|       3|       1|       2|       2|       1|       0|       3|       0|       1|       5|       4|       3|       2|       1|       1|       1|       0|       0|      42|
  802111|       5|       3|       3|       1|       2|       1|       0|       1|       0|       2|       1|       3|       4|       4|       3|       1|       1|       0|       2|       0|       3|      40|
  802112|       1|       2|       2|       0|       0|       0|       1|       1|       1|       4|       0|       2|       0|       2|       0|       0|       1|       1|       1|       1|       2|      22|
  802113|       0|       0|       0|       0|       0|       0|       0|       1|       0|       0|       0|       2|       1|       1|       1|       0|       1|       1|       1|       0|       1|      10|
  802114|       0|       0|       0|       1|       0|       0|       0|       0|       1|       1|       0|       1|       0|       0|       0|       0|       0|       0|       0|       0|       1|       5|
  802115|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       1|       0|       1|       0|       0|       2|       4|
  802116|       0|       0|       0|       0|       0|       0|       0|       1|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       1|
  802117|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       1|       0|       0|       0|       0|       0|       0|       1|
  802118|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
  802119|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
  802120|       0|       0|       0|       0|       0|       0|       0|       0|       0|       1|       0|       0|       0|       0|       0|       1|       0|       0|       0|       0|       0|       2|
  802500|       8|       6|       2|       2|       2|       0|       0|       0|       1|       0|       3|      10|       8|       3|       7|       0|       0|       0|       0|       0|       1|      53|
  802501|      14|      25|      19|       7|       4|       3|       3|       3|       1|       5|       4|      19|      28|      16|       8|       7|       2|       6|       2|       1|       0|     177|
  802502|      40|      33|      21|      13|       9|       7|       1|       0|       0|       1|       8|      38|      33|      10|      16|       6|       2|       1|       1|       1|       0|     241|
  802503|      37|      39|      23|      16|       8|       6|       6|       1|       2|       8|       3|      49|      33|      27|      15|      14|      11|       2|       2|       1|       2|     305|
  802504|      36|      40|      28|      15|       6|       3|       1|       1|       2|       2|       3|      37|      35|      22|      19|      15|       3|       1|       2|       1|       4|     276|
  802505|      40|      32|      24|      13|      10|       3|       7|       2|       0|       3|       6|      56|      46|      28|      15|       8|       5|       5|       3|       1|       3|     310|
  802506|      49|      30|      26|       8|       8|       1|       2|       1|       0|       3|       6|      55|      34|      27|      16|       9|       4|       0|       5|       1|       1|     286|
  802507|      39|      24|      19|      16|       7|       2|       2|       3|       2|       7|       4|      53|      35|      26|      19|       9|       5|       7|       4|       1|       3|     287|
  802508|      38|      26|      21|      15|       6|       2|       1|       2|       2|       5|      10|      60|      36|      29|      14|       7|       6|       2|       2|       3|       2|     289|
  802509|      31|      20|      12|       7|       2|       6|       4|       3|       0|       4|       9|      32|      26|      19|      10|       2|       4|       5|       0|       0|       2|     198|
  802510|      12|      17|      10|       6|       7|       3|       0|       0|       0|       4|       3|      19|      20|      18|       9|       7|       1|       2|       2|       0|       4|     144|
  802600|      52|      38|      19|      10|       8|       3|       2|       0|       1|       4|      13|      54|      43|      32|      23|       6|       4|       2|       2|       0|       7|     323|
  802601|      50|      38|      33|      19|      14|       6|       2|       3|       2|       6|       8|      65|      52|      44|      23|      12|       6|       4|       3|       1|       2|     393|
  802602|      58|      51|      33|      26|      11|       5|       7|       4|       2|      11|       9|      95|      54|      41|      28|      13|      10|       7|       8|       1|       3|     477|
  802603|      64|      46|      34|      20|       6|       4|       3|       4|       2|       8|      10|      75|      56|      41|      22|      19|       6|       4|       5|       3|       2|     434|
