# Model sampling has a symmetrical period before and after. If the model period is 28, there will also be a buffer of 28 cycles before and after it.
日期,名称,代码,开盘,最高,最低,收盘,涨跌额,涨跌幅,成交量(手),成交金额(万)
2015-10-13,上证指数,000001,3262.16,3298.63,3253.25,3293.23,5.57,0.17%,297153120,33480608.0
2015-10-12,上证指数,000001,3193.54,3318.71,3188.41,3287.66,104.51,3.28%,386294688,43554100.0
2015-10-09,上证指数,000001,3146.64,3192.72,3137.79,3183.15,39.8,1.27%,234851456,25637910.0
2015-10-08,上证指数,000001,3156.07,3172.28,3133.13,3143.36,90.58,2.97%,234276048,25883034.0
2015-09-30,上证指数,000001,3052.84,3073.3,3039.74,3052.78,14.64,0.48%,146642448,15656919.0
2015-09-29,上证指数,000001,3055.22,3068.3,3021.16,3038.14,-62.62,-2.02%,163222672,16968660.0
2015-09-28,上证指数,000001,3085.57,3103.07,3042.31,3100.76,8.41,0.27%,156727536,16642240.0
2015-09-25,上证指数,000001,3130.85,3149.95,3063.0,3092.35,-50.34,-1.60%,236263872,24897112.0
2015-09-24,上证指数,000001,3126.49,3151.17,3109.69,3142.69,26.8,0.86%,212887712,23136904.0
2015-09-23,上证指数,000001,3137.72,3164.04,3104.74,3115.89,-69.73,-2.19%,236322672,25756004.0
2015-09-22,上证指数,000001,3161.32,3213.48,3152.48,3185.62,29.08,0.92%,274786176,30507132.0
2015-09-21,上证指数,000001,3072.09,3159.88,3060.86,3156.54,58.62,1.89%,239897360,25979668.0
2015-09-18,上证指数,000001,3100.28,3122.05,3070.34,3097.92,11.86,0.38%,209175392,21844244.0
2015-09-17,上证指数,000001,3131.98,3204.7,3085.31,3086.06,-66.2,-2.10%,317602912,33739328.0
2015-09-16,上证指数,000001,2998.04,3182.93,2983.53,3152.26,147.09,4.89%,277524512,28199226.0
2015-09-15,上证指数,000001,3043.8,3081.7,2983.92,3005.17,-109.63,-3.52%,249194448,24390460.0
2015-09-14,上证指数,000001,3221.17,3229.48,3049.23,3114.8,-85.44,-2.67%,346631168,37357680.0
2015-09-11,上证指数,000001,3189.48,3223.76,3163.45,3200.23,2.34,0.07%,224557808,25276946.0
2015-09-10,上证指数,000001,3190.55,3243.28,3178.9,3197.89,-45.2,-1.39%,273261760,29958108.0
2015-09-09,上证指数,000001,3182.55,3256.74,3165.7,3243.09,72.64,2.29%,375328000,41299144.0
2015-09-08,上证指数,000001,3054.44,3174.71,3011.12,3170.45,90.03,2.92%,255415456,26391038.0
2015-09-07,上证指数,000001,3149.38,3217.58,3066.3,3080.42,-79.75,-2.52%,296468096,30268972.0
2015-09-02,上证指数,000001,3027.68,3194.49,3019.09,3160.17,-6.46,-0.20%,438170176,42326236.0
2015-09-01,上证指数,000001,3157.83,3180.33,3053.74,3166.62,-39.36,-1.23%,432432448,42041164.0
2015-08-31,上证指数,000001,3203.56,3207.86,3109.16,3205.99,-26.36,-0.82%,397431392,43106860.0
2015-08-28,上证指数,000001,3125.26,3235.84,3102.95,3232.35,148.76,4.82%,443136928,47463100.0
2015-08-27,上证指数,000001,2978.03,3085.42,2906.49,3083.59,156.3,5.34%,400308384,40428928.0
2015-08-26,上证指数,000001,2980.79,3092.04,2850.71,2927.29,-37.68,-1.27%,466699680,46178896.0
2015-08-25,上证指数,000001,3004.13,3123.03,2947.94,2964.97,-244.94,-7.63%,352325088,35873576.0
2015-08-24,上证指数,000001,3373.48,3388.36,3191.88,3209.91,-297.84,-8.49%,334671776,35881888.0
2015-08-21,上证指数,000001,3609.96,3652.84,3490.54,3507.74,-156.55,-4.27%,369920480,45061648.0
2015-08-20,上证指数,000001,3754.57,3788.0,3663.61,3664.29,-129.82,-3.42%,390063072,50119500.0
2015-08-19,上证指数,000001,3646.8,3811.43,3558.38,3794.11,45.94,1.23%,475396224,59951332.0
2015-08-18,上证指数,000001,3999.13,4006.34,3743.39,3748.16,-245.5,-6.15%,543770816,72246720.0
2015-08-17,上证指数,000001,3947.84,3994.54,3907.4,3993.67,28.33,0.71%,460432064,62632768.0
2015-08-14,上证指数,000001,3976.41,4000.68,3939.83,3965.33,10.78,0.27%,467988224,64746644.0
2015-08-13,上证指数,000001,3869.91,3955.79,3838.16,3954.56,68.24,1.76%,430073280,57868552.0
2015-08-12,上证指数,000001,3881.23,3937.77,3871.14,3886.32,-41.59,-1.06%,442688256,59705028.0
2015-08-11,上证指数,000001,3928.81,3970.34,3891.18,3927.91,-0.51,-0.01%,538923456,71228992.0
2015-08-10,上证指数,000001,3786.03,3943.62,3775.85,3928.42,184.21,4.92%,497304320,65262204.0
2015-08-07,上证指数,000001,3692.61,3756.74,3686.3,3744.21,82.67,2.26%,340757184,44548504.0
2015-08-06,上证指数,000001,3625.5,3710.57,3614.74,3661.54,-33.03,-0.89%,274074656,35751512.0
2015-08-05,上证指数,000001,3745.65,3782.35,3676.39,3694.57,-61.97,-1.65%,366423008,48385028.0
2015-08-04,上证指数,000001,3621.85,3757.03,3601.29,3756.54,133.64,3.69%,362901664,46403624.0
