# Model sampling has a symmetrical period before and after. If the model period is 28, there will also be a buffer of 28 cycles before and after it.
日期,名称,代码,开盘,最高,最低,收盘,涨跌额,涨跌幅,成交量(手),成交金额(万)
2015-03-24,上证指数,000001,3692.57,3715.87,3600.7,3691.41,3.68,0.10%,639554688,75488472.0
2015-03-23,上证指数,000001,3640.1,3688.25,3635.49,3687.73,70.41,1.95%,536062816,66157464.0
2015-03-20,上证指数,000001,3587.08,3632.34,3569.38,3617.32,35.05,0.98%,516661664,65177196.0
2015-03-19,上证指数,000001,3576.02,3600.68,3546.84,3582.27,4.97,0.14%,537346624,61224968.0
2015-03-18,上证指数,000001,3510.5,3577.66,3503.85,3577.3,74.45,2.13%,545217152,61736700.0
2015-03-17,上证指数,000001,3469.6,3504.12,3459.69,3502.85,53.54,1.55%,520939520,60150068.0
2015-03-16,上证指数,000001,3391.16,3449.3,3377.09,3449.3,76.39,2.26%,399132416,47935532.0
2015-03-13,上证指数,000001,3359.49,3391.25,3352.15,3372.91,23.59,0.70%,328410144,37404140.0
2015-03-12,上证指数,000001,3314.81,3360.05,3300.49,3349.32,58.42,1.78%,357295104,40719240.0
2015-03-11,上证指数,000001,3289.59,3325.05,3278.47,3290.9,4.83,0.15%,282985536,32757308.0
2015-03-10,上证指数,000001,3289.08,3309.92,3277.09,3286.07,-16.34,-0.49%,285817568,32995596.0
2015-03-09,上证指数,000001,3224.31,3307.7,3198.37,3302.41,61.22,1.89%,321495456,35992752.0
2015-03-06,上证指数,000001,3248.04,3266.93,3234.53,3241.19,-7.29,-0.22%,282915808,32834414.0
2015-03-05,上证指数,000001,3264.08,3266.64,3221.67,3248.48,-31.06,-0.95%,320663584,37358000.0
2015-03-04,上证指数,000001,3264.18,3286.59,3250.48,3279.53,16.48,0.51%,293639520,34678976.0
2015-03-03,上证指数,000001,3317.7,3317.7,3260.43,3263.05,-73.23,-2.20%,382044608,44159348.0
2015-03-02,上证指数,000001,3332.72,3336.76,3298.67,3336.28,25.98,0.78%,346445664,41025956.0
2015-02-27,上证指数,000001,3296.83,3324.55,3291.01,3310.3,11.94,0.36%,299163712,33501958.0
2015-02-26,上证指数,000001,3222.15,3300.62,3202.19,3298.36,69.52,2.15%,301263872,33434746.0
2015-02-25,上证指数,000001,3256.48,3257.22,3215.55,3228.84,-18.06,-0.56%,233348096,26514336.0
2015-02-17,上证指数,000001,3230.88,3255.73,3230.77,3246.91,24.54,0.76%,228332624,26334004.0
2015-02-16,上证指数,000001,3206.14,3228.85,3195.88,3222.36,18.54,0.58%,223797440,26595070.0
2015-02-13,上证指数,000001,3186.81,3237.16,3182.79,3203.83,30.41,0.96%,261290432,29301768.0
2015-02-12,上证指数,000001,3157.96,3181.77,3134.24,3173.42,15.71,0.50%,194592320,22969158.0
2015-02-11,上证指数,000001,3145.76,3166.42,3139.05,3157.7,16.11,0.51%,172840096,21086256.0
2015-02-10,上证指数,000001,3090.49,3142.1,3084.25,3141.59,46.47,1.50%,193817136,22508492.0
2015-02-09,上证指数,000001,3063.51,3119.03,3049.11,3095.12,19.22,0.62%,206108384,24071968.0
2015-02-06,上证指数,000001,3120.09,3129.54,3052.94,3075.91,-60.62,-1.93%,246749680,26650278.0
2015-02-05,上证指数,000001,3251.21,3251.21,3135.82,3136.53,-37.6,-1.18%,306139296,34826696.0
2015-02-04,上证指数,000001,3212.82,3238.98,3171.14,3174.13,-30.78,-0.96%,249098080,29015516.0
2015-02-03,上证指数,000001,3156.09,3207.94,3129.73,3204.91,76.61,2.45%,248192160,28335594.0
2015-02-02,上证指数,000001,3148.14,3175.13,3122.57,3128.3,-82.06,-2.56%,250861632,26684996.0
2015-01-30,上证指数,000001,3273.75,3288.5,3210.31,3210.36,-51.94,-1.59%,258312544,28426564.0
2015-01-29,上证指数,000001,3259.0,3286.79,3234.24,3262.3,-43.43,-1.31%,274658624,29642450.0
2015-01-28,上证指数,000001,3325.72,3354.8,3294.66,3305.74,-47.22,-1.41%,301927104,34156428.0
2015-01-27,上证指数,000001,3389.85,3390.22,3290.22,3352.96,-30.22,-0.89%,374517568,41829884.0
2015-01-26,上证指数,000001,3347.26,3384.8,3321.31,3383.18,31.42,0.94%,317540992,35842744.0
2015-01-23,上证指数,000001,3357.1,3406.79,3328.29,3351.76,8.42,0.25%,366249248,42097952.0
2015-01-22,上证指数,000001,3327.32,3352.38,3293.98,3343.34,19.73,0.59%,353382976,40787408.0
2015-01-21,上证指数,000001,3189.08,3337.0,3178.34,3323.61,150.56,4.74%,410956032,47375868.0
2015-01-20,上证指数,000001,3114.56,3190.25,3100.48,3173.05,56.7,1.82%,357080800,41629524.0
2015-01-19,上证指数,000001,3189.73,3262.21,3095.07,3116.35,-260.14,-7.70%,401098784,40988600.0
2015-01-16,上证指数,000001,3343.6,3400.32,3340.49,3376.5,40.04,1.20%,339876768,39225388.0
2015-01-15,上证指数,000001,3224.07,3337.08,3207.54,3336.46,114.02,3.54%,282546240,33061054.0
2015-01-14,上证指数,000001,3242.34,3268.48,3193.98,3222.44,-12.86,-0.40%,240190752,26720452.0
2015-01-13,上证指数,000001,3223.54,3259.39,3214.41,3235.3,5.98,0.19%,230725760,27358878.0
2015-01-12,上证指数,000001,3258.21,3275.19,3191.58,3229.32,-56.1,-1.71%,322064672,36627308.0
2015-01-09,上证指数,000001,3276.97,3404.83,3267.51,3285.41,-8.04,-0.24%,410240864,45864804.0
2015-01-08,上证指数,000001,3371.96,3381.57,3285.09,3293.46,-80.5,-2.39%,371131200,39923032.0
2015-01-07,上证指数,000001,3326.65,3374.9,3312.21,3373.95,22.51,0.67%,391918880,43641672.0
2015-01-06,上证指数,000001,3330.8,3394.22,3303.18,3351.45,0.93,0.03%,501661696,53239848.0
2015-01-05,上证指数,000001,3258.63,3369.28,3253.88,3350.52,115.84,3.58%,531352384,54976008.0
2014-12-31,上证指数,000001,3172.6,3239.36,3157.26,3234.68,68.86,2.18%,405998496,43231984.0
2014-12-30,上证指数,000001,3160.8,3190.3,3130.35,3165.81,-2.2,-0.07%,397725312,43726328.0
2014-12-29,上证指数,000001,3212.56,3223.86,3126.94,3168.02,10.41,0.33%,510111456,55590432.0
2014-12-26,上证指数,000001,3078.0,3164.16,3064.18,3157.6,85.07,2.77%,460700928,48891512.0
2014-12-25,上证指数,000001,2992.46,3073.34,2969.87,3072.54,100.0,3.36%,376947808,37901768.0
2014-12-24,上证指数,000001,3039.21,3050.51,2934.91,2972.53,-60.08,-1.98%,376805248,37872676.0
2014-12-23,上证指数,000001,3085.08,3136.84,3025.67,3032.61,-94.83,-3.03%,437762432,41946768.0
2014-12-22,上证指数,000001,3129.27,3189.87,3090.51,3127.45,18.85,0.61%,679371904,62448148.0
2014-12-19,上证指数,000001,3053.07,3117.53,3018.42,3108.6,51.08,1.67%,521073504,51558028.0
2014-12-18,上证指数,000001,3062.8,3089.79,3030.32,3057.52,-3.5,-0.11%,435904960,46652452.0
2014-12-17,上证指数,000001,3031.95,3076.6,2993.33,3061.02,39.5,1.31%,542503168,58033860.0
2014-12-16,上证指数,000001,2953.81,3021.9,2943.91,3021.52,68.1,2.31%,453842752,49271620.0
2014-12-15,上证指数,000001,2921.45,2960.23,2890.9,2953.42,15.25,0.52%,400371712,41148716.0
2014-12-12,上证指数,000001,2929.36,2962.51,2914.96,2938.17,12.43,0.42%,409480800,42041028.0
2014-12-11,上证指数,000001,2912.35,2965.68,2892.61,2925.74,-14.26,-0.49%,482632736,47980144.0
2014-12-10,上证指数,000001,2855.94,2946.71,2807.68,2940.01,83.74,2.93%,512886912,53498996.0
2014-12-09,上证指数,000001,2992.49,3091.32,2834.59,2856.27,-163.99,-5.43%,771998336,79336128.0
2014-12-08,上证指数,000001,2907.81,3041.66,2879.85,3020.26,82.61,2.81%,587570880,59347804.0
2014-12-05,上证指数,000001,2926.57,2978.03,2813.05,2937.65,38.19,1.32%,640500288,63919104.0
2014-12-04,上证指数,000001,2783.47,2900.51,2772.43,2899.46,119.93,4.31%,532687712,50921860.0
2014-12-03,上证指数,000001,2768.68,2824.18,2733.87,2779.52,15.98,0.58%,562120320,52977744.0
2014-12-02,上证指数,000001,2667.82,2777.37,2665.69,2763.54,83.39,3.11%,437733376,39723892.0
2014-12-01,上证指数,000001,2691.73,2720.74,2668.84,2680.16,-2.68,-0.10%,446791712,40112020.0
2014-11-28,上证指数,000001,2629.63,2683.18,2622.06,2682.83,52.35,1.99%,465880032,40195116.0
2014-11-27,上证指数,000001,2615.37,2631.4,2599.11,2630.49,26.14,1.00%,364075712,33896084.0
2014-11-26,上证指数,000001,2572.65,2605.07,2570.4,2604.34,36.75,1.43%,337127232,31652126.0
2014-11-25,上证指数,000001,2532.0,2568.38,2527.08,2567.6,34.72,1.37%,314315584,28216878.0
2014-11-24,上证指数,000001,2505.53,2546.75,2495.52,2532.88,46.09,1.85%,363485824,33029142.0
2014-11-21,上证指数,000001,2452.64,2488.2,2446.65,2486.79,34.13,1.39%,212239776,19780980.0
2014-11-20,上证指数,000001,2443.28,2458.32,2437.48,2452.66,1.67,0.07%,165495216,15079991.0
