"日期","名称","代码","开盘价","最高价","最低价","收盘价","前收盘","涨跌额","涨跌率","换手率","成交量","成交额","总市值","流通市值"
"2022-01-28","上证50","'000016","3127.18","3140.29","3048.33","3054.02","3119.24","-65.2177","-0.020908","0","33555300","78774600000","0","0"
"2022-01-27","上证50","'000016","3168.14","3168.76","3115.86","3119.24","3163.67","-44.4357","-0.014046","0","31101400","74072800000","0","0"
"2022-01-26","上证50","'000016","3156.65","3169.53","3126.55","3163.67","3144.95","18.7253","0.005954","0","24181700","59873000000","0","0"
"2022-01-25","上证50","'000016","3192.12","3198.11","3144.73","3144.95","3209.74","-64.7955","-0.020187","0","30310000","66217300000","0","0"
"2022-01-24","上证50","'000016","3204.18","3218.98","3185.52","3209.74","3218.74","-8.9907","-0.002793","0","28274200","63984500000","0","0"
"2022-01-21","上证50","'000016","3227.2","3234.47","3202.73","3218.74","3233.7","-14.9659","-0.004628","0","32332700","80402400000","0","0"
"2022-01-20","上证50","'000016","3188.14","3251.22","3187.61","3233.7","3187.19","46.509","0.014592","0","40261100","84699600000","0","0"
"2022-01-19","上证50","'000016","3194.92","3201.94","3172.26","3187.19","3187.52","-0.3323","-0.000104","0","30991300","68467500000","0","0"
"2022-01-18","上证50","'000016","3147.85","3198.47","3137.11","3187.52","3147.7","39.8257","0.012652","0","35057300","73685200000","0","0"
"2022-01-17","上证50","'000016","3139.41","3159.19","3134.08","3147.7","3139.05","8.6534","0.002757","0","27036100","67786600000","0","0"
"2022-01-14","上证50","'000016","3173.85","3173.85","3136.99","3139.05","3184.11","-45.0616","-0.014152","0","34517000","73162100000","0","0"
"2022-01-13","上证50","'000016","3243.05","3247.82","3182.85","3184.11","3236.31","-52.2012","-0.01613","0","34782300","77552000000","0","0"
"2022-01-12","上证50","'000016","3220.19","3244.23","3211.28","3236.31","3214.53","21.7794","0.006775","0","32441700","72452800000","0","0"
"2022-01-11","上证50","'000016","3229.46","3247.9","3210.4","3214.53","3236.12","-21.5876","-0.006671","0","30666400","72887000000","0","0"
"2022-01-10","上证50","'000016","3217.35","3237.22","3197.9","3236.12","3223.27","12.8493","0.003986","0","33382800","75573000000","0","0"
"2022-01-07","上证50","'000016","3213.26","3240.74","3213.26","3223.27","3210.39","12.8817","0.004013","0","40694700","84494600000","0","0"
"2022-01-06","上证50","'000016","3242.53","3251.12","3194.95","3210.39","3254.28","-43.894","-0.013488","0","31730400","85538400000","0","0"
"2022-01-05","上证50","'000016","3259.21","3289.16","3244.21","3254.28","3264.07","-9.7864","-0.002998","0","37064000","92853900000","0","0"
"2022-01-04","上证50","'000016","3277.67","3281.74","3224.34","3264.07","3274.32","-10.2552","-0.003132","0","29982600","82422000000","0","0"
"2021-12-31","上证50","'000016","3269.61","3282.68","3261.84","3274.32","3261.79","12.5272","0.003841","0","20550000","65632100000","0","0"
"2021-12-30","上证50","'000016","3240.26","3277","3236.16","3261.79","3240.85","20.9485","0.006464","0","22285000","70057600000","0","0"
"2021-12-29","上证50","'000016","3308.21","3308.23","3240.85","3240.85","3303.4","-62.555","-0.018937","0","20098500","72426700000","0","0"
"2021-12-28","上证50","'000016","3282.6","3307.79","3280.27","3303.4","3278.44","24.9637","0.007615","0","26002300","71780800000","0","0"
"2021-12-27","上证50","'000016","3286.11","3291.98","3264.02","3278.44","3290.24","-11.7992","-0.003586","0","19675600","60256700000","0","0"
"2021-12-24","上证50","'000016","3293.3","3306.91","3278.2","3290.24","3287.19","3.048","0.000927","0","21806200","69008600000","0","0"
"2021-12-23","上证50","'000016","3265.71","3287.19","3246.24","3287.19","3260.57","26.6166","0.008163","0","21417700","58960300000","0","0"
"2021-12-22","上证50","'000016","3280.69","3287.76","3257.01","3260.57","3273.03","-12.4602","-0.003807","0","22342900","57344400000","0","0"
