"日期","名称","代码","开盘价","最高价","最低价","收盘价","前收盘","涨跌额","涨跌率","换手率","成交量","成交额","总市值","流通市值"
"2020-12-31","工商银行","'601398","4.95","5.01","4.95","4.99","4.96","0.03","0.006048","0.00115","310004000","1545160000","1778470000000","1345360000000"
"2020-12-30","工商银行","'601398","4.97","4.98","4.94","4.96","4.98","-0.02","-0.004016","0.000942","254078000","1258740000","1767780000000","1337280000000"
"2020-12-29","工商银行","'601398","4.97","4.98","4.95","4.98","4.97","0.01","0.002012","0.000943","254202000","1262340000","1774900000000","1342670000000"
"2020-12-28","工商银行","'601398","4.96","4.97","4.93","4.97","4.97","0","0","0.00086","231927000","1148790000","1771340000000","1339970000000"
"2020-12-25","工商银行","'601398","4.96","4.97","4.95","4.97","4.96","0.01","0.002016","0.000569","153284000","760124000","1771340000000","1339970000000"
"2020-12-24","工商银行","'601398","4.96","4.98","4.94","4.96","4.96","0","0","0.000453","122263000","606453000","1767780000000","1337280000000"
"2020-12-23","工商银行","'601398","4.94","4.97","4.93","4.96","4.94","0.02","0.004049","0.000813","219146000","1083280000","1767780000000","1337280000000"
"2020-12-22","工商银行","'601398","4.99","5","4.92","4.94","5","-0.06","-0.012","0.001357","365749000","1813670000","1760650000000","1331880000000"
"2020-12-21","工商银行","'601398","5.01","5.02","4.98","5","5","0","0","0.000763","205829000","1029140000","1782030000000","1348060000000"
"2020-12-18","工商银行","'601398","5.01","5.03","4.98","5","5.03","-0.03","-0.005964","0.000815","219772000","1098950000","1782030000000","1348060000000"
"2020-12-17","工商银行","'601398","5","5.04","4.96","5.03","5","0.03","0.006","0.001228","331128000","1653430000","1792720000000","1356150000000"
"2020-12-16","工商银行","'601398","5.01","5.05","4.99","5","5.01","-0.01","-0.001996","0.000987","266067000","1333080000","1782030000000","1348060000000"
"2020-12-15","工商银行","'601398","5.05","5.05","4.98","5.01","5.05","-0.04","-0.007921","0.001264","340752000","1703700000","1785600000000","1350760000000"
"2020-12-14","工商银行","'601398","5.07","5.09","5.03","5.05","5.08","-0.03","-0.005906","0.001009","272106000","1375570000","1799850000000","1361540000000"
"2020-12-11","工商银行","'601398","5.06","5.08","5.02","5.08","5.06","0.02","0.003953","0.001036","279273000","1408320000","1810540000000","1369630000000"
